I,A,V,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,max_real_eig,min_real_eig,param_alpha_I,param_alpha_A,param_alpha_V,param_beta_IA,param_beta_AV,param_beta_VI,param_gamma_I,param_gamma_A,param_gamma_V,param_w
0.12723750964022465,0.0968180296091509,-0.3948885069966075,0.3624404661778422,0.0,-0.08687538174773762,0.0,0.09356744078769604,0.0,0.3624404661778422,-0.08687538174773762,0.31426870101836957,0.3633294735405661,0.32641060625364415,0.5387628351661081,0.4259175777972499,0.6482710970490069,0.263693056239957,0.2462399017846098,0.5298516140291488,0.5778735525086949
0.12723750964149888,-0.09681802960901917,0.3948885069963978,0.38859336616440704,0.0,0.09001993943176029,0.0,-0.08265259213582342,0.0,0.38859336616440704,-0.08265259213582342,0.31426870101836957,0.3633294735405661,0.32641060625364415,0.5387628351661081,0.4259175777972499,0.6482710970490069,0.263693056239957,0.2462399017846098,0.5298516140291488,0.5778735525086949
-0.1272375096402401,0.09681802960908388,0.39488850699666284,0.3806394330692955,0.0,0.09454323642172652,0.0,-0.08082578447416253,0.0,0.3806394330692955,-0.08082578447416253,0.31426870101836957,0.3633294735405661,0.32641060625364415,0.5387628351661081,0.4259175777972499,0.6482710970490069,0.263693056239957,0.2462399017846098,0.5298516140291488,0.5778735525086949
-0.1272375096405635,-0.09681802960726259,-0.3948885069899775,0.40450784952003466,0.0,0.111246127652725,0.0,-0.0626249956041232,0.0,0.40450784952003466,-0.0626249956041232,0.31426870101836957,0.3633294735405661,0.32641060625364415,0.5387628351661081,0.4259175777972499,0.6482710970490069,0.263693056239957,0.2462399017846098,0.5298516140291488,0.5778735525086949
-1.5e-323,5e-324,4e-323,0.17285030012526453,0.0,0.1183471826656009,0.0,-0.058622419396926584,0.0,0.17285030012526453,-0.058622419396926584,0.4118412269193239,0.26544946782801454,0.3751703504438167,0.7057682068164768,0.2940557044827012,0.7581201564331579,0.288061338765096,0.1773058156128423,0.5228605441353089,0.8296529059352465
0.13790290363134702,0.19388623685988876,-0.18595467721540657,-0.11855713682224489,0.0,0.257287763572886,0.0,0.19183085650865253,0.0,0.257287763572886,-0.11855713682224489,0.2767446160179052,0.30019971496218745,0.1552566512982285,0.534066524211325,0.6741698741091772,0.8110905041794036,0.36076328039634364,0.5552469072257935,0.1016497761762289,0.3800705138475372
-0.13790290361450988,0.19388623684207446,0.1859546771919458,-0.12088615931991997,0.0,0.26426263436521485,0.0,0.18232250910488626,0.0,0.26426263436521485,-0.12088615931991997,0.2767446160179052,0.30019971496218745,0.1552566512982285,0.534066524211325,0.6741698741091772,0.8110905041794036,0.36076328039634364,0.5552469072257935,0.1016497761762289,0.3800705138475372
0.13790290361452434,-0.1938862368420834,0.1859546771919625,-0.12058056263884073,0.0,0.24023889128586948,0.0,0.20210653682618243,0.0,0.24023889128586948,-0.12058056263884073,0.2767446160179052,0.30019971496218745,0.1552566512982285,0.534066524211325,0.6741698741091772,0.8110905041794036,0.36076328039634364,0.5552469072257935,0.1016497761762289,0.3800705138475372
0.08870666829176276,-0.35737874696207556,0.10635943897795216,0.36838832229580015,0.0,-0.044409351579387885,0.0,0.03195978866618887,0.0,0.36838832229580015,-0.044409351579387885,0.208429897328452,0.028704907246566852,0.3398485980373222,0.30914661137852234,0.14313115633650325,0.8638325287470969,0.48125338297098197,0.15792045643447356,0.521865720344903,0.15784052470539206
-0.08870666826622056,0.3573787469492191,0.10635943893398297,0.37706136133161827,0.0,-0.03713596605232385,0.0,0.03681423712722875,0.0,0.37706136133161827,-0.03713596605232385,0.208429897328452,0.028704907246566852,0.3398485980373222,0.30914661137852234,0.14313115633650325,0.8638325287470969,0.48125338297098197,0.15792045643447356,0.521865720344903,0.15784052470539206
-0.08870666825291824,-0.3573787469373783,-0.10635943890529384,0.41257559850386627,0.0,0.04743405498237154,0.0,-0.025798969071140425,0.0,0.41257559850386627,-0.025798969071140425,0.208429897328452,0.028704907246566852,0.3398485980373222,0.30914661137852234,0.14313115633650325,0.8638325287470969,0.48125338297098197,0.15792045643447356,0.521865720344903,0.15784052470539206
0.08870666825488392,0.3573787469548594,-0.10635943891747016,0.4053752249875513,0.0,0.0370570333472531,0.0,-0.03442409737190695,0.0,0.4053752249875513,-0.03442409737190695,0.208429897328452,0.028704907246566852,0.3398485980373222,0.30914661137852234,0.14313115633650325,0.8638325287470969,0.48125338297098197,0.15792045643447356,0.521865720344903,0.15784052470539206
0.02058508368127692,0.10134304776119889,0.12249622582329564,-0.2713640190430555,0.0,0.024395231689796276,0.0,-0.023319641667753722,0.0,0.024395231689796276,-0.2713640190430555,0.13319957466416765,0.05582517517322853,0.0923021992113199,0.4202425515743456,0.4445881414847576,0.8117384067519648,0.6966746319437777,0.12052433727816264,0.1912292829005404,0.5549693898573447
