# beta,mu,Lmax
4.722222222222222321e+00,8.890000000000000333e-03,-9.039067812854197470e+00
4.722222222222222321e+00,1.000000000000000021e-02,-9.038391166440341351e+00
5.777777777777777679e+00,1.000000000000000082e-05,-9.038208258647744131e+00
5.777777777777777679e+00,1.120000000000000119e-03,-9.039492834038604485e+00
5.777777777777777679e+00,2.230000000000000211e-03,-9.038698421761676371e+00
5.777777777777777679e+00,3.340000000000000521e-03,-9.039068031198748798e+00
5.777777777777777679e+00,4.449999999999999963e-03,-9.038762435956181562e+00
5.777777777777777679e+00,5.559999999999999838e-03,-9.038790739030988064e+00
5.777777777777777679e+00,6.670000000000000581e-03,-9.037584338895891634e+00
5.777777777777777679e+00,7.780000000000000457e-03,-9.038265377218861474e+00
5.777777777777777679e+00,8.890000000000000333e-03,-9.039740238877982392e+00
5.777777777777777679e+00,1.000000000000000021e-02,-9.037888364625869642e+00
6.833333333333333925e+00,1.000000000000000082e-05,-9.037989982738103834e+00
6.833333333333333925e+00,1.120000000000000119e-03,-9.038806031061618285e+00
6.833333333333333925e+00,2.230000000000000211e-03,-9.038046980632577387e+00
6.833333333333333925e+00,3.340000000000000521e-03,-9.037284609017355308e+00
6.833333333333333925e+00,4.449999999999999963e-03,-9.038082162089549954e+00
6.833333333333333925e+00,5.559999999999999838e-03,-9.038124747715945873e+00
6.833333333333333925e+00,6.670000000000000581e-03,-9.038914278738843677e+00
6.833333333333333925e+00,7.780000000000000457e-03,-9.038841304696507706e+00
6.833333333333333925e+00,8.890000000000000333e-03,-9.038219869558428599e+00
6.833333333333333925e+00,1.000000000000000021e-02,-9.038486351342074343e+00
7.888888888888889284e+00,1.000000000000000082e-05,-9.038948722162052363e+00
7.888888888888889284e+00,1.120000000000000119e-03,-9.038539579758772646e+00
7.888888888888889284e+00,2.230000000000000211e-03,-9.037412028364505190e+00
7.888888888888889284e+00,3.340000000000000521e-03,-9.039212542340617773e+00
7.888888888888889284e+00,4.449999999999999963e-03,-9.037461029483354835e+00
7.888888888888889284e+00,5.559999999999999838e-03,-9.037340748642003874e+00
7.888888888888889284e+00,6.670000000000000581e-03,-9.040069959435479419e+00
7.888888888888889284e+00,7.780000000000000457e-03,-9.037574747027033339e+00
7.888888888888889284e+00,8.890000000000000333e-03,-9.039028146002273445e+00
7.888888888888889284e+00,1.000000000000000021e-02,-9.038511797457802643e+00
8.944444444444444642e+00,1.000000000000000082e-05,-9.039530102457346672e+00
8.944444444444444642e+00,1.120000000000000119e-03,-9.039558011379449809e+00
8.944444444444444642e+00,2.230000000000000211e-03,-9.038851604840905551e+00
8.944444444444444642e+00,3.340000000000000521e-03,-9.037743793041933316e+00
8.944444444444444642e+00,4.449999999999999963e-03,-9.041822591054433644e+00
8.944444444444444642e+00,5.559999999999999838e-03,-9.039711244282662150e+00
8.944444444444444642e+00,6.670000000000000581e-03,-9.038124900622753088e+00
8.944444444444444642e+00,7.780000000000000457e-03,-9.037113393780789039e+00
8.944444444444444642e+00,8.890000000000000333e-03,-9.039541136288780976e+00
8.944444444444444642e+00,1.000000000000000021e-02,-9.038416574800168135e+00
1.000000000000000000e+01,1.000000000000000082e-05,-9.039691807629829157e+00
1.000000000000000000e+01,1.120000000000000119e-03,-9.037916750012460199e+00
1.000000000000000000e+01,2.230000000000000211e-03,-9.039083597219686794e+00
1.000000000000000000e+01,3.340000000000000521e-03,-9.038141703174112251e+00
1.000000000000000000e+01,4.449999999999999963e-03,-9.039033469012089483e+00
1.000000000000000000e+01,5.559999999999999838e-03,-9.036360886626518152e+00
1.000000000000000000e+01,6.670000000000000581e-03,-9.038122950440332204e+00
1.000000000000000000e+01,7.780000000000000457e-03,-9.036730275399937895e+00
1.000000000000000000e+01,8.890000000000000333e-03,-9.038097990804804027e+00
1.000000000000000000e+01,1.000000000000000021e-02,-9.038581455791550923e+00
