I0,A0,V0,alpha_I,alpha_A,alpha_V,beta_IA,beta_AV,beta_VI,gamma,w,L_max
0.3719043893641175,0.23952415421091777,0.04041092220467606,0.1273956048555963,0.1408580690707607,0.12774048382411773,1.2347956254937547,0.6623128697309899,1.1840468261786643,0.0026487764313247977,0.012827231019706484,-0.4241740462842983
0.1654050538536896,0.1371255215287218,0.23454840035289184,0.09388784397520522,0.11997071338107496,0.14718264260609673,0.46146265009577647,1.402130274618665,1.3636834640684492,0.003926446534328035,0.016802125011264598,-0.4079105656951497
0.4461095339876708,0.032134827324818926,0.07322472801920045,0.13585979199113823,0.07658699614595196,0.10007411862023423,0.9432816431371647,1.237552842517819,1.40526863675423,0.0045649754238382394,0.008616636640087702,-0.44363013146706043
0.30097696853393935,0.24593075675987755,0.08464008797721209,0.11973680290593638,0.1469176377347724,0.06438975025512508,0.9170674442284974,0.4327060931953326,0.904359510219719,0.0037431317602325824,0.043841403899249565,-0.4463934751518463
0.07175290745584699,0.4800728503414481,0.319818578384803,0.059417734788764956,0.12787509039657946,0.051393628770820154,1.3290865729470691,1.4964415894050878,0.9243301376886828,0.004834450505972209,0.01487909972925559,-0.4621636248179831
0.08042214411321172,0.32973440836880497,0.2025344218694143,0.1475622351636756,0.12168901891589956,0.07296560299988553,0.8553592387122191,1.3550400291692943,1.2598444929166037,0.004019023268321798,0.028512980326304848,-0.4032058761841029
0.34961675919555374,0.252798212748023,0.46170770057594757,0.1261139701990353,0.09493615021437887,0.0631822217786521,0.7621073953204242,0.6406901254368467,0.6773408300930415,0.004400606472178669,0.03980674683192733,-0.49185063826016373
0.09474252885661824,0.0642391162745119,0.16638668235795434,0.12860643052769538,0.0772241561845159,0.11776586736128575,1.067475925484532,1.304275895593126,1.3048588348140824,0.0010134683203263674,0.039407381359409965,-0.43646780977232713
0.2585734237752012,0.13369378236929777,0.36582826290811155,0.06281136326755458,0.059639096215349935,0.06218325046285311,0.6197559810010153,0.42770343824565943,0.892969975820908,0.003795860763472045,0.022480926670625453,-0.6274315974911135
0.4959694932050682,0.15443923529152595,0.23593872077590475,0.0950385937895567,0.14026023965438417,0.1006329931620633,0.4677220931447482,1.4989256765690864,0.43902806920232207,0.002480399147873159,0.02433660812074956,-0.4422445615009846
0.011963726319336353,0.3847537407775448,0.3333761375533466,0.08707980242325812,0.09557762898336111,0.11942624356428864,0.873452728828495,1.0988216833278441,0.3864709764875324,0.0029889671108507387,0.04974038569781622,-0.5113011387920556
0.01812410292980289,0.4395882906596635,0.3038507247908353,0.14267649888486017,0.07023633647952303,0.10811166092209024,0.8002672423138619,1.0801500186705564,1.3103918532473557,0.003443460842670606,0.03405527637197218,-0.4174921117123784
0.4966114451459482,0.45180450824755486,0.2416641466519091,0.11438651200806645,0.08059566241506524,0.06997756516600576,0.5790839286346484,0.40852887238095925,0.36668150028825347,0.004864168025175064,0.04091728371277625,-0.5429268145624859
0.2964730287257411,0.4924386180428695,0.4755299363659742,0.13227616132708298,0.1079219568941896,0.13041245261822626,0.7410141721381536,1.3764400786759503,0.6367337233603871,0.004930601366442312,0.045225144491742364,-0.456818071984347
0.07218588800407143,0.4913596747212209,0.1779296849499284,0.09434141988273312,0.06767727829392317,0.12154071296158016,0.7396709397914969,0.3347994038453633,0.7009560486018549,0.001797027104695574,0.039591901975237626,-0.4986163602773492
0.44967807787950587,0.4769695750563109,0.09684539561214354,0.07272387217847769,0.13566142840923756,0.12389840039155417,0.6929946772950546,0.5889936696493765,0.5075933342299126,0.0038018907384706232,0.010073787902724812,-0.4735064836192821
0.4413863470625692,0.04519284884641335,0.34226608983111584,0.10545847870158348,0.125851952983521,0.06310577515573132,0.7553568956723147,0.47162625019996196,0.676672043762387,0.0038749259207087093,0.02854636595314104,-0.49571053498975814
0.27273820242457386,0.07751883260462454,0.4245437050408753,0.05638172561041754,0.12194629559509368,0.06237538036503446,1.1228920145471344,1.2321215288306622,1.1912310800701027,0.00205921787590872,0.005992813708412699,-0.4682693831183821
0.3146780946317707,0.15918859797325613,0.029724332570562645,0.1327631171992582,0.09320930397751037,0.14275625510065076,0.6562517694855423,0.5378450726554774,0.3176194122720849,0.0010574139868889947,0.032993184201635925,-0.45834228239530406
0.14386172383542942,0.28092014449158614,0.2303200173271135,0.11316643991220648,0.11273088407024431,0.08975781938249407,1.4386295120584085,1.3927658725570624,1.2926081094248236,0.0006842613212857389,0.04781212198120274,-0.4620511053673255
0.03475465122228252,0.057519165465684856,0.4473189679467899,0.12580877400853738,0.10840979689127356,0.08009486917809397,1.3996176234458135,1.087522847192988,1.3278576282894698,0.003998044073881304,0.026123871150705455,-0.42362157382679483
0.3013381283565235,0.42444050932304983,0.37731312327220506,0.08545259681298684,0.11498466015548199,0.09885840453515332,0.8770925139600942,0.34339525259363546,0.7467138878298578,0.0027036488381760766,0.022215652150520595,-0.533757351739201
0.15443004466935387,0.31221052774788144,0.49598578108383784,0.1470698024394903,0.05844443211398891,0.11628642127635824,0.6940334460056266,0.30651580095444053,0.48433547887276174,0.0049349307627271684,0.0027562948194899957,-0.44515224398908126
0.33517431286357247,0.27575855712808045,0.27039276768264947,0.13931211213221978,0.09158074021706096,0.145562325704697,0.9425217477960037,0.3619895004172787,1.021008489534097,0.0025923805528714388,0.0480289515941318,-0.4248590092176462
0.4197601366528746,0.09100254844997266,0.3333979022125641,0.12783834970737618,0.05416141738618925,0.0786446226882055,1.3182725865283496,1.0271102131772731,0.4436070670378732,0.004900626405832281,0.006047131522377781,-0.47540805335686104
